	SignatureCluster	VersoCluster	UMAPgroup	nClonal	nMinor
SRR11578167	SC#4	C12	4	9	6
SRR11578168	SC#4	C11	2	9	8
SRR11578169	SC#2	C10	7	12	79
SRR11578170	NA	C13	1	13	0
SRR11578171	SC#2	C13	8	7	243
SRR11578172	SC#4	C13	3	10	4
SRR11578174	SC#4	C06	4	11	1
SRR11578175	SC#4	C06	9	7	3
SRR11578176	SC#2	C13	1	11	58
SRR11578177	SC#2	C13	1	8	227
SRR11578178	SC#4	C13	2	9	1
SRR11578180	SC#2	C13	1	8	153
SRR11578181	SC#2	C13	1	10	154
SRR11578182	NA	C10	2	10	0
SRR11578183	NA	C08	3	11	0
SRR11578184	SC#4	C13	16	11	3
SRR11578185	SC#4	C09	5	9	1
SRR11578187	NA	C13	7	10	0
SRR11578189	SC#2	C05	3	7	334
SRR11578190	SC#2	C09	1	8	98
SRR11578192	SC#2	C13	1	11	202
SRR11578194	SC#2	C10	7	11	79
SRR11578195	SC#2	C10	7	12	113
SRR11578196	SC#2	C03	0	5	110
SRR11578197	SC#2	C10	7	10	45
SRR11578198	SC#2	C01	2	1	129
SRR11578199	SC#2	C06	1	12	160
SRR11578200	SC#2	C10	7	11	72
SRR11578201	SC#4	C03	3	4	2
SRR11578202	SC#2	C02	1	8	60
SRR11578203	SC#2	C06	1	8	98
SRR11578204	NA	C13	5	13	0
SRR11578205	SC#4	C05	0	10	6
SRR11578206	SC#4	C11	2	11	3
SRR11578208	NA	C08	2	12	0
SRR11578209	SC#4	C11	1	9	2
SRR11578210	SC#4	C11	1	10	4
SRR11578211	SC#4	C11	3	11	1
SRR11578212	SC#2	C09	1	9	110
SRR11578214	SC#4	C11	3	11	2
SRR11578215	SC#4	C13	12	11	1
SRR11578216	SC#4	C09	3	8	2
SRR11578217	NA	C11	0	9	0
SRR11578218	SC#2	C01	2	9	395
SRR11578219	SC#2	C13	7	10	34
SRR11578220	NA	C06	4	11	0
SRR11578221	SC#2	C10	3	13	183
SRR11578222	SC#2	C09	1	9	105
SRR11578223	SC#2	C09	2	7	27
SRR11578224	SC#2	C09	3	8	282
SRR11578225	SC#2	C09	3	6	165
SRR11578226	SC#4	C04	1	5	1
SRR11578227	SC#4	C11	2	9	3
SRR11578228	SC#4	C13	16	12	1
SRR11578229	SC#4	C03	1	5	2
SRR11578230	SC#4	C13	9	10	1
SRR11578231	SC#4	C09	10	10	1
SRR11578232	SC#4	C09	2	9	1
SRR11578235	SC#2	C05	3	8	95
SRR11578236	NA	C09	6	9	0
SRR11578237	SC#2	C06	1	8	44
SRR11578239	SC#2	C10	3	10	265
SRR11578240	SC#2	C11	5	9	141
SRR11578242	NA	C12	5	13	0
SRR11578243	SC#4	C13	6	12	1
SRR11578245	SC#3	C12	5	11	35
SRR11578246	SC#4	C13	0	9	1
SRR11578247	SC#3	C03	6	4	9
SRR11578248	SC#4	C07	0	12	1
SRR11578249	SC#4	C06	3	10	2
SRR11578251	SC#4	C13	10	12	2
SRR11578252	SC#4	C12	1	12	5
SRR11578254	SC#4	C09	0	7	1
SRR11578255	SC#4	C13	8	14	4
SRR11578258	SC#4	C12	1	12	2
SRR11578259	NA	C01	1	11	0
SRR11578260	SC#3	C05	3	11	78
SRR11578262	SC#2	C05	3	7	188
SRR11578264	NA	C10	0	10	0
SRR11578266	SC#4	C10	4	11	1
SRR11578267	SC#4	C13	2	9	7
SRR11578268	SC#1	C07	0	9	3971
SRR11578269	SC#1	C07	0	9	5255
SRR11578270	NA	C09	4	10	0
SRR11578273	SC#2	C13	1	10	136
SRR11578274	SC#3	C06	3	7	30
SRR11578275	SC#4	C02	3	9	1
SRR11578276	SC#2	C09	8	8	61
SRR11578278	SC#4	C11	0	8	1
SRR11578279	SC#4	C05	1	8	3
SRR11578280	SC#4	C05	1	8	1
SRR11578281	SC#3	C07	0	6	43
SRR11578282	NA	C05	1	8	0
SRR11578283	NA	C02	0	8	0
SRR11578284	SC#2	C06	9	7	162
SRR11578285	NA	C05	1	8	0
SRR11578286	SC#3	C05	0	7	29
SRR11578287	SC#4	C04	0	9	1
SRR11578288	SC#1	C12	5	13	112
SRR11578289	SC#1	C13	16	12	46
